집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
2023-10-27,0,2,27,1,41286,427,289,242,316,2709,45269
2023-10-27,0,2,8,0,81157,1685,2282,2081,9393,4267,100865
2023-10-27,0,2,8,1,2351,23,107,5,14,96,2596
2023-10-27,0,2,26,1,19951,333,260,22,79,2135,22780
2023-10-27,0,2,44,0,115152,4122,2838,3183,6756,7923,139974
2023-10-27,0,2,44,1,4523,59,144,18,7,285,5036
2023-10-27,0,2,43,1,19412,166,92,57,182,956,20865
2023-10-27,0,2,24,1,3863,66,195,0,0,86,4210
2023-10-27,0,2,10,0,113344,1982,2784,1268,1679,4599,125656
2023-10-27,0,2,10,1,8275,174,99,107,258,522,9435
2023-10-27,0,2,18,0,75521,5155,6392,5579,12056,3385,108088
2023-10-27,0,2,45,0,43968,1270,3000,3933,5681,1414,59266
2023-10-27,0,2,34,0,79335,1755,2497,998,2579,2960,90124
2023-10-27,0,2,28,0,79997,1962,1357,1012,1047,5037,90412
2023-10-27,0,2,37,0,15648,736,635,1773,4751,1289,24832
2023-10-27,0,2,48,0,74918,3740,2582,2374,4504,4754,92872
2023-10-27,0,2,1,0,136391,3205,8395,6358,10258,3388,167995
2023-10-27,0,2,49,0,101204,4631,3323,3972,3249,5140,121519
2023-10-27,0,2,46,0,10004,440,517,625,1572,348,13506
2023-10-27,0,2,11,0,129253,4056,3567,2452,3193,7045,149566
2023-10-27,0,2,2,0,106376,3650,2921,4110,6954,4166,128177
2023-10-27,1,1,0,0,248634,10670,33582,30493,9659,30013,363051
2023-10-27,1,1,0,1,45190,1888,3892,3548,1701,6245,62464
2023-10-27,1,1,8,0,7939,325,880,1269,535,1120,12068
2023-10-27,1,1,8,1,4646,66,112,153,19,43,5039
2023-10-27,1,1,26,1,8469,139,382,511,276,1224,11001
2023-10-27,1,1,44,0,14186,782,1226,970,568,1769,19501
2023-10-27,1,1,44,1,592,8,10,6,2,94,712
2023-10-27,1,1,42,1,15673,486,703,632,1105,1012,19611
2023-10-27,1,1,43,1,5567,163,342,393,105,772,7342
2023-10-27,1,1,24,1,3326,71,230,0,0,72,3699
2023-10-27,1,1,10,0,6785,190,451,253,52,793,8524
2023-10-27,1,1,10,1,465,15,20,28,8,63,599
2023-10-27,1,1,18,0,4635,365,1648,1093,479,523,8743
2023-10-27,1,1,45,0,974,43,184,230,52,57,1540
2023-10-27,1,1,34,0,2653,70,220,187,128,272,3530
2023-10-27,1,1,28,0,5934,165,325,296,111,870,7701
2023-10-27,1,1,37,0,1586,126,567,765,274,299,3617
2023-10-27,1,1,48,0,1887,155,528,304,120,273,3267
2023-10-27,1,1,1,0,3538,156,590,472,191,338,5285
2023-10-27,1,1,49,0,1839,110,336,292,51,337,2965
2023-10-27,1,1,46,0,404,8,72,57,9,54,604
2023-10-27,1,1,11,0,12198,512,1543,1130,525,1541,17449
2023-10-27,1,1,2,0,6976,283,770,550,156,865,9600
2023-10-27,1,2,0,0,2669599,91637,110474,84465,167141,119452,3242768
2023-10-27,1,2,0,1,605778,17426,14840,11445,18267,33117,700873
2023-10-27,1,2,27,1,44219,457,339,347,315,2787,48464
2023-10-27,1,2,8,0,76772,1690,2179,1937,8164,4098,94840
2023-10-27,1,2,8,1,3006,24,108,2,24,135,3299
2023-10-27,1,2,26,1,17163,169,234,22,83,1874,19545
2023-10-27,1,2,44,0,108024,3676,2586,2997,6411,7456,131150
2023-10-27,1,2,44,1,7619,88,178,21,18,439,8363
